Var1,Var2,Var3
"BRD-K00463020.txt.mat",644,12282
"BRD-K00468432.txt.mat",644,12282
"BRD-K00472408.txt.mat",644,12282
"BRD-K00474848.txt.mat",644,12282
"BRD-K00478394.txt.mat",644,12282
"BRD-K00480552.txt.mat",644,12282
"BRD-K00484200.txt.mat",644,12282
"BRD-K00486725.txt.mat",644,12282
"BRD-K00498462.txt.mat",644,12282
"BRD-K00502422.txt.mat",644,12282
"BRD-K00504156.txt.mat",644,12282
"BRD-K00505809.txt.mat",644,12282
"BRD-K00513921.txt.mat",644,12282
"BRD-K00518397.txt.mat",644,12282
"BRD-K00526921.txt.mat",644,12282
"BRD-K00540336.txt.mat",644,12282
"BRD-K00541156.txt.mat",644,12282
"BRD-K00541818.txt.mat",644,12282
"BRD-K00544996.txt.mat",644,12282
"BRD-K00547540.txt.mat",644,12282
"BRD-K00549770.txt.mat",644,12282
"BRD-K00549983.txt.mat",644,12282
"BRD-K00550058.txt.mat",644,12282
"BRD-K00551481.txt.mat",644,12282
"BRD-K00555438.txt.mat",644,12282
"BRD-K00566471.txt.mat",644,12282
"BRD-K00568440.txt.mat",644,12282
"BRD-K00575273.txt.mat",644,12282
"BRD-K00575615.txt.mat",644,12282
"BRD-K00585841.txt.mat",644,12282
"BRD-K00586388.txt.mat",644,12282
"BRD-K00596555.txt.mat",644,12282
"BRD-K00596708.txt.mat",644,12282
"BRD-K00598313.txt.mat",644,12282
